,Month,DayOfWeek,Time,SecurityDelay
3173921,6,5,10,57.0
652425,2,7,18,5.0
301506,1,3,6,17.0
2083058,4,2,14,12.0
5341847,9,2,3,62.0
6951612,12,2,6,24.0
3103685,6,4,10,10.0
6732546,12,1,7,29.0
1873332,4,1,19,3.0
768169,2,7,16,25.0
6716516,12,6,7,25.0
1305033,3,7,15,7.0
2932231,5,6,21,35.0
3663349,7,7,16,14.0
3766723,7,5,17,80.0
752907,2,6,6,4.0
566714,1,6,11,32.0
4766041,8,5,20,26.0
4496972,8,7,9,26.0
2083027,4,2,14,3.0
5215977,9,5,14,14.0
1117078,2,4,14,15.0
4771059,8,2,0,16.0
3495706,6,1,19,47.0
1476471,3,1,17,10.0
6288712,11,6,15,14.0
1616467,3,6,6,11.0
3719436,7,3,19,18.0
1841234,4,5,18,8.0
6339225,11,2,6,25.0
2963810,5,6,17,13.0
1240047,3,6,10,13.0
3655716,7,5,19,2.0
3163545,6,7,12,4.0
6561386,12,3,17,19.0
1766632,3,7,0,15.0
6614740,12,6,6,30.0
1810652,4,3,19,6.0
5905962,10,6,14,10.0
1755549,3,3,15,13.0
6238065,11,2,5,11.0
1437276,3,6,8,39.0
5506210,10,7,20,36.0
1263194,3,6,14,8.0
5359219,9,4,17,7.0
1441336,3,2,21,7.0
3110581,6,1,14,5.0
442037,1,2,6,29.0
6748879,12,2,6,34.0
4160853,7,5,19,22.0
773130,2,3,9,70.0
3084372,6,7,11,2.0
1309346,3,1,11,26.0
1282586,3,6,13,12.0
2504065,5,2,14,7.0
1018187,2,5,14,1.0
3945375,7,4,19,27.0
6544796,12,7,19,27.0
1230649,3,3,7,16.0
6590817,12,3,17,43.0
1252967,3,3,7,12.0
2668947,5,1,20,20.0
4678372,8,7,14,6.0
6751908,12,5,7,30.0
3451440,6,6,10,10.0
2455379,5,5,6,15.0
2506359,5,3,15,6.0
2048719,4,6,20,45.0
1823523,4,7,11,8.0
33284,1,7,11,5.0
