,Month,DayOfWeek,Time,WeatherDelay
6963715,12,5,16,17.0
636236,2,2,12,97.0
3933089,7,4,18,45.0
2035148,4,4,10,28.0
3591979,6,2,19,52.0
3402539,6,7,7,48.0
2174795,4,5,10,29.0
1030547,2,1,17,269.0
998542,2,1,8,1.0
1683428,3,2,9,59.0
4765646,8,5,21,5.0
412263,1,6,17,4.0
1667476,3,7,17,12.0
6515938,12,4,6,15.0
3558889,6,2,20,8.0
4440652,8,5,16,83.0
2600397,5,3,8,39.0
3472742,6,6,6,17.0
1108747,2,4,7,14.0
5675222,10,5,13,4.0
6524917,12,7,15,61.0
41292,1,2,6,161.0
3427129,6,4,14,20.0
5902454,10,4,16,29.0
1343657,3,5,14,15.0
6607860,12,5,8,25.0
4716842,8,5,16,9.0
1681226,3,7,22,10.0
3869194,7,4,15,12.0
5465236,10,1,9,44.0
6591775,12,4,9,24.0
5142369,9,1,15,14.0
2550923,5,3,16,59.0
4428808,8,5,21,193.0
607441,2,7,12,5.0
3288515,6,5,15,25.0
6825413,12,3,8,53.0
235279,1,4,15,47.0
6837192,12,3,11,22.0
774433,2,4,9,36.0
796399,2,3,6,302.0
3767952,7,1,21,28.0
2895885,5,3,14,6.0
2823881,5,2,8,43.0
3380129,6,4,18,33.0
3734320,7,4,11,31.0
2019257,4,3,21,20.0
2823969,5,5,14,90.0
1895162,4,6,16,32.0
482205,1,2,16,10.0
1058269,2,2,16,20.0
6843650,12,7,7,63.0
3878171,7,7,16,14.0
5502856,10,3,18,16.0
5360350,9,5,8,12.0
3103025,6,7,19,13.0
4364026,8,5,6,88.0
6088244,11,7,18,161.0
1774270,3,2,20,9.0
155933,1,4,21,56.0
1099097,2,5,6,16.0
3845606,7,2,8,70.0
6769504,12,2,11,2.0
5933678,10,3,19,3.0
3042845,6,2,14,50.0
2895361,5,2,13,20.0
3671526,7,3,20,12.0
6614258,12,5,15,78.0
6851485,12,3,10,37.0
685111,2,3,17,13.0
3793353,7,3,13,20.0
2017442,4,1,8,37.0
5528520,10,5,17,91.0
6533277,12,3,14,12.0
2720271,5,5,19,18.0
