,Month,DayOfWeek,Time,NASDelay
3107284,6,2,8,6.0
2524936,5,6,20,20.0
4071703,7,4,16,2.0
5833149,10,1,13,28.0
6296472,11,7,16,57.0
5929083,10,7,14,9.0
4173537,7,5,14,29.0
710372,2,1,11,48.0
5394701,10,1,7,32.0
498168,1,7,20,3.0
3833326,7,2,22,23.0
912555,2,5,7,9.0
5680096,10,2,21,21.0
1751492,3,7,9,13.0
6898645,12,6,22,32.0
6819208,12,2,13,16.0
1410583,3,4,10,109.0
275046,1,2,7,17.0
83330,1,1,9,11.0
2271192,4,7,11,9.0
3521326,6,2,13,38.0
2339722,4,5,11,15.0
4168204,7,2,13,68.0
6609483,12,1,8,19.0
6983539,12,1,15,12.0
6674896,12,6,17,53.0
6796286,12,4,6,31.0
3281642,6,7,18,11.0
6687735,12,4,6,22.0
3339396,6,1,12,16.0
3115568,6,5,20,96.0
6402159,11,4,18,35.0
1065429,2,7,12,14.0
2327350,4,5,17,57.0
6950470,12,6,7,25.0
6772002,12,5,10,13.0
3709383,7,4,9,16.0
1300688,3,5,13,34.0
2351204,4,1,12,26.0
181699,1,2,16,118.0
6213989,11,6,18,15.0
4007708,7,4,19,1.0
1140840,2,5,11,20.0
564915,1,4,11,31.0
1590920,3,2,18,44.0
2966664,5,2,10,6.0
2100410,4,6,18,24.0
4360322,8,1,6,1.0
6620644,12,1,12,10.0
6137244,11,3,9,22.0
5666663,10,5,18,35.0
172036,1,3,9,84.0
3234309,6,4,10,1.0
4067209,7,3,22,48.0
4775753,8,5,18,19.0
2121953,4,4,16,2.0
5831138,10,5,21,3.0
666121,2,4,7,16.0
3397514,6,1,13,39.0
5491568,10,4,17,7.0
512556,1,2,13,2.0
2039170,4,2,10,32.0
1289557,3,1,14,55.0
6505492,12,1,12,9.0
1492120,3,1,11,22.0
948113,2,5,15,28.0
6238036,11,6,14,51.0
498440,1,7,14,8.0
524708,1,2,10,59.0
6427984,11,6,17,44.0
4804500,8,3,18,33.0
6784843,12,6,15,19.0
4442396,8,7,15,16.0
401585,1,4,13,66.0
6912021,12,1,16,17.0
